#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,26
1,8
2,21
3,9
4,37
5,34
6,32
7,27
8,32
9,8
10,36
11,33
12,20
13,42
14,34
15,25
16,19
17,25
18,1
19,43
20,44
21,2
22,32
23,7
24,49
25,37
26,12
27,3
28,38
29,38
30,29
31,28
32,40
33,11
34,27
35,19
36,27
37,44
38,34
39,39
40,37
41,23
42,50
43,31
44,38
45,41
46,29
47,23
48,19
49,28
#STORE_NO, DELIVERY_PRICE
0,6.82
1,6.01
2,5.83
3,7.46
4,0.81
5,1.67
6,5.41
7,3.41
8,6.64
9,8.97
10,3.99
11,9.2
12,0.87
13,0.09
14,0.67
15,1.64
16,6.83
17,2.38
18,8.21
19,5.05
20,4.66
21,6.47
22,2.17
23,0.73
24,7.59
25,5.71
26,2.56
27,0.49
28,4.73
29,0.06
30,5.52
31,6.14
32,0.57
33,1.5
34,3.32
35,8.6
36,0.27
37,1.95
38,3.77
39,0.54
40,7.94
41,6.3
42,9.08
43,4.26
44,8.61
45,7.55
46,9.31
47,8.67
48,4.62
49,2.92
50,1.08
51,1.14
52,2.05
53,8.08
54,5.28
55,2.63
56,9.6
57,5.08
58,8.55
59,2.44
60,1.03
61,9.17
62,6.58
63,3.12
64,0.16
65,3.34
66,5.96
67,1.57
68,10.0
69,9.13
70,9.98
71,0.13
72,7.1
73,4.03
74,8.05
75,4.73
76,2.99
77,6.64
78,4.88
79,9.06
80,7.29
81,8.32
82,3.68
83,1.36
84,9.91
85,6.67
86,5.44
87,0.16
88,8.34
89,3.87
90,4.84
91,4.42
92,1.04
93,6.72
94,3.68
95,2.34
96,1.1
97,7.16
98,7.67
99,3.09
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
0.0,21.95,0.0,9.25,0.0,0.0,0.0,0.0,23.4,17.63,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,16.95,15.43,0.0,6.45,48.34,43.12,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.95,0.0,24.52,10.39,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,
0.0,29.83,0.0,0.0,0.0,0.0,47.42,0.0,0.0,0.0,0.0,0.0,10.97,0.0,0.0,0.0,0.0,0.0,0.0,22.06,29.01,0.0,18.15,0.0,0.0,0.0,17.45,6.61,5.3,0.0,0.0,46.75,0.0,0.0,0.0,0.0,31.49,0.0,0.0,0.0,43.38,0.0,26.39,47.19,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,40.83,0.0,5.82,28.18,0.0,0.0,37.41,0.0,17.14,39.04,0.0,47.37,0.0,0.0,0.0,0.0,47.07,0.0,40.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,8.63,0.0,0.0,0.0,0.0,0.0,0.0,8.03,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.04,20.33,0.0,35.31,0.0,9.39,0.0,25.59,0.0,0.0,23.95,38.05,0.0,0.0,30.54,0.0,14.06,33.6,0.0,40.86,11.14,17.57,0.0,0.0,0.0,0.0,17.83,0.0,0.0,0.0,0.0,47.81,0.0,0.0,0.0,38.17,6.89,0.0,0.0,0.0,12.96,46.11,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38,15.08,0.0,0.0,0.0,0.0,0.0,12.99,0.0,17.46,13.0,0.0,0.0,0.0,0.0,38.11,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.31,28.09,0.0,0.0,0.0,47.0,20.46,46.18,0.0,0.0,33.66,0.0,0.0,
0.0,49.98,11.31,0.0,0.0,0.0,0.0,0.0,49.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91,0.0,0.0,0.0,0.0,12.23,33.03,0.0,0.0,0.0,0.0,0.0,18.25,23.65,0.0,37.88,0.0,49.63,0.0,0.0,47.3,0.0,0.0,0.0,0.0,26.68,28.71,36.81,0.0,0.0,0.0,
0.0,43.81,0.0,0.0,0.0,0.0,36.53,7.33,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.13,0.0,0.0,42.69,46.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,38.68,0.0,16.16,17.82,0.0,0.0,15.24,16.23,6.98,
6.36,14.26,0.0,0.0,0.0,0.0,0.0,0.0,30.81,12.43,0.0,0.0,0.0,21.02,0.0,0.0,0.0,49.98,0.0,38.72,19.25,39.89,0.0,0.0,21.91,0.0,0.0,39.07,0.0,0.0,24.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.98,0.0,0.0,0.0,0.0,0.0,0.0,29.09,0.0,0.0,0.0,5.17,44.06,0.0,27.64,0.0,0.0,0.0,0.0,22.08,0.0,0.0,0.0,8.91,0.0,0.0,0.0,0.0,0.0,0.0,16.12,0.0,28.96,15.31,40.13,0.0,0.0,48.68,0.0,36.79,0.0,21.81,34.37,0.0,0.0,0.0,46.63,46.51,0.0,0.0,
12.97,40.64,15.73,34.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.57,0.0,31.86,0.0,0.0,0.0,28.19,41.19,0.0,42.15,0.0,0.0,0.0,14.44,0.0,0.0,49.54,0.0,0.0,13.31,0.0,0.0,0.0,0.0,0.0,0.0,35.42,28.55,6.55,34.89,0.0,0.0,13.77,0.0,0.0,44.4,0.0,0.0,0.0,
