#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,11
1,26
2,18
3,46
4,12
5,10
6,7
7,8
8,21
9,40
10,24
11,9
12,8
13,29
14,36
15,33
16,9
17,30
18,24
19,41
20,42
21,30
22,13
23,39
24,47
25,11
26,1
27,12
28,14
29,47
30,50
31,21
32,22
33,8
34,16
35,10
36,22
37,5
38,41
39,2
40,46
41,45
42,37
43,14
44,29
45,2
46,5
47,48
48,30
49,12
#STORE_NO, DELIVERY_PRICE
0,9.01
1,3.74
2,4.46
3,0.05
4,6.31
5,4.25
6,4.58
7,7.49
8,8.6
9,6.41
10,6.21
11,4.41
12,5.16
13,5.33
14,3.9
15,8.54
16,4.79
17,1.06
18,6.97
19,5.46
20,4.47
21,3.6
22,2.29
23,9.8
24,4.21
25,3.61
26,1.54
27,2.51
28,1.62
29,9.65
30,9.17
31,9.74
32,8.57
33,2.37
34,4.56
35,0.29
36,7.07
37,1.87
38,8.7
39,6.16
40,1.08
41,9.12
42,2.48
43,4.51
44,2.77
45,0.04
46,0.66
47,3.76
48,6.22
49,8.71
50,0.71
51,6.72
52,9.47
53,2.9
54,1.78
55,0.62
56,6.88
57,9.36
58,0.97
59,9.13
60,5.54
61,2.62
62,0.91
63,0.1
64,4.73
65,8.69
66,2.27
67,0.69
68,5.4
69,2.48
70,2.18
71,1.48
72,6.5
73,7.53
74,8.37
75,5.0
76,7.45
77,6.58
78,3.82
79,3.44
80,6.69
81,9.23
82,9.08
83,3.69
84,4.32
85,0.71
86,3.33
87,8.33
88,1.73
89,9.49
90,7.66
91,2.99
92,8.02
93,8.19
94,8.53
95,2.6
96,9.73
97,5.44
98,2.11
99,9.18
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
0.0,0.0,0.0,0.0,0.0,20.43,0.0,0.0,42.5,0.0,31.91,0.0,0.0,21.18,0.0,0.0,39.97,47.83,0.0,0.0,0.0,0.0,29.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,43.84,0.0,32.31,0.0,0.0,0.0,23.34,0.0,37.25,0.0,0.0,0.0,28.05,19.37,
0.0,0.0,30.69,26.42,0.0,0.0,18.74,0.0,35.66,31.62,0.0,0.0,0.0,0.0,25.0,0.0,37.63,0.0,0.0,35.98,0.0,43.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.26,42.33,5.49,0.0,0.0,0.0,6.44,14.93,30.08,
0.0,0.0,30.8,0.0,44.62,0.0,0.0,0.0,0.0,7.73,0.0,0.0,0.0,0.0,49.68,0.0,0.0,48.45,0.0,0.0,0.0,0.0,0.0,0.0,36.2,0.0,30.5,0.0,11.39,22.31,27.81,34.96,46.82,27.52,0.0,0.0,40.29,11.99,0.0,24.96,0.0,0.0,25.48,47.71,30.41,0.0,0.0,0.0,9.1,0.0,
40.14,9.94,0.0,0.0,12.93,0.0,0.0,0.0,0.0,42.02,0.0,0.0,45.17,0.0,0.0,0.0,9.81,0.0,0.0,13.05,0.0,18.12,0.0,0.0,15.49,13.78,0.0,21.91,0.0,31.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86,0.0,0.0,0.0,0.0,0.0,0.0,42.25,34.4,0.0,
0.0,0.0,39.32,29.51,0.0,41.65,0.0,0.0,10.53,22.41,0.0,0.0,0.0,0.0,0.0,35.21,0.0,0.0,0.0,16.25,0.0,17.69,0.0,0.0,0.0,39.64,0.0,23.85,18.1,0.0,43.39,17.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,16.74,0.0,49.77,0.0,0.0,26.27,0.0,
0.0,5.76,0.0,16.99,0.0,0.0,0.0,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04,35.0,0.0,0.0,30.16,28.24,0.0,0.0,0.0,21.12,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,33.98,0.0,24.3,40.62,0.0,0.0,0.0,0.0,11.07,0.0,13.3,0.0,0.0,
31.74,0.0,26.18,0.0,0.0,0.0,0.0,20.16,13.13,0.0,0.0,5.46,27.86,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,36.19,0.0,14.84,23.83,0.0,49.74,20.31,32.41,0.0,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.26,0.0,31.57,0.0,0.0,0.0,0.0,25.67,43.62,44.42,
0.0,28.48,0.0,33.71,13.4,26.31,0.0,47.73,33.14,0.0,0.0,40.16,0.0,41.79,0.0,0.0,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42,0.0,0.0,0.0,32.61,23.27,0.0,30.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,14.75,0.0,47.73,0.0,13.9,0.0,42.89,34.58,0.0,0.0,
31.57,35.68,11.29,0.0,27.4,37.29,17.91,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,17.08,21.43,16.91,34.99,21.36,46.13,0.0,7.65,0.0,0.0,48.16,0.0,0.0,0.0,0.0,0.0,25.48,24.3,0.0,0.0,0.0,0.0,0.0,27.08,0.0,0.0,46.56,0.0,0.0,0.0,0.0,0.0,0.0,
12.44,30.28,9.67,0.0,21.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.75,0.0,21.56,0.0,0.0,48.96,0.0,0.0,0.0,19.12,5.47,0.0,0.0,0.0,37.3,16.28,44.16,0.0,0.0,0.0,13.53,24.28,0.0,0.0,0.0,28.77,0.0,42.55,16.47,23.31,0.0,0.0,0.0,23.43,22.4,0.0,0.0,
